0,1,2,3,4,5,6,7,8
160504000012026NC400069,160072,11. DEPOSITO DE SUPRIMENTO,339030,MATERIAL DE CONSUMO,E6SUSOLSOLE,"(071969-S E F)C SUP-DIV SUBS-SOL-DPS DE ALIMENTACAO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (AQS GEN ALMT P/ DESPEDIDA DO SERVICO ATIVO DE OFICIAL-GENERAL) REF: DIEX Nº 128-AOFIN/SEF, DE 09JAN26. EMPH ATE 48H. PRB DETAORC.",,10500.0
160504000012026NC400070,160322,HOSPITAL CENTRAL DO EXERCITO,339030,MATERIAL DE CONSUMO,E6SUSOLA5PA,"(059204-HCE)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO BT30.406-01 (AQS MATERIAL DE CONSUMO ST APROV).REF: DIEX Nº 403-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 09JAN26. EMPH ATE 48H. PRB DETAORC.",,54702.6
160504000012026NC400071,160223,HOSPITAL GERAL DE CURITIBA,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(059709-H GE CURITIBA)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO).REF: DIEX Nº 300-SEC REMONTA E VETERINARIA/ESC LOG/CH EM, DE 09JAN26. EMPH ATE 48H. PRB DETAORC.",,2750.0
160504000012026NC400095,160186,BASE ADMINISTRATIVA DO QGEX,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLSOLE,"(045062-D ABST)C SUP-DIV SUBS-SOL-DPS DE ALIMENTACAO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (SV FORN ALMT P/ DESPEDIDA PARA RESERVA REMUNERADA DE OFICIAIS) REF: DIEX Nº 189-CMDO/B ADM QGEX, DE 14JAN26. EMPH ATE 48H. PRB DETAORC.",,16200.0
160504000012026NC400288,160111,COMANDO DA 4A BDA DE INFANTARIA LEVE MONTANHA,339030,MATERIAL DE CONSUMO,E6SUSOLA5CF,"(005421-10º BIL MTH)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (AQS MATERIAL DE CONSUMO CAMARA FRIGO - COMPLEMENTO).REF: DIEX Nº 182-ESC LOG/E4/CMDO 4ª RM, DE 06JAN26. EMPH ATE 48H. PRB DETAORC.",,4200.0
160504000012026NC400289,160065,COMANDO DA 11A. REGIAO MILITAR,339030,MATERIAL DE CONSUMO,E6SUSOLA2QS,"(040725-11º D SUP) C SUP-DIV SUBS-SOL-QS DSP EXTRAORDINARIA (ARTIGO SALMAO). REF: DIEX Nº 59-CHEFIA, DE 13JAN26. OBS REGRAS BT30.420-01(QS) E BT30.404-17. EMPH ATE 48H. PRB DETAORC.",,94200.0
160504000012026NC400295,160359,HOSPITAL DA GUARNICAO DE ALEGRETE,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(060509-H GU ALEGRETE)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO).REF: DIEX Nº 428-E4/CMDO 3ª RM, DE 12JAN26. EMPH ATE 48H. PRB DETAORC.",,5400.0
160504000012026NC400296,160407,29 BATALHAO DE INFANTARIA BLINDADO,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5PA,"(007203-29º BIB)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO BT30.406-01 (SV MANUTENCAO ST APROV).REF: DIEX Nº 94-SS RMT VET/SEC SUP/3º GPT LOG, DE 09JAN26. EMPH ATE 48H. PRB DETAORC.",,7500.0
160504000012026NC400297,160186,BASE ADMINISTRATIVA DO QGEX,339030,MATERIAL DE CONSUMO,E6SUSOLA5PA,"(001156-BA ADM / QGEX)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO BT30.406-01 (AQS MATERIAL DE CONSUMO ST APROV).REF: DIEX Nº 141-DIV MNT BENS IMOVEIS/B ADM QGEX, DE 13JAN26. EMPH ATE 48H. PRB DETAORC.",,8350.0
160504000012026NC400298,160086,GABINETE DO COMANDANTE DO EXERCITO,339030,MATERIAL DE CONSUMO,E6SUSOLSOLE,"(054890-GAB CMT EX)C SUP-DIV SUBS-SOL-DPS DE ALIMENTACAO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (AQS GEN ALMT P/ REUNIAO DO ALTO-COMANDO DO EXERCITO) REF: DIEX Nº 353-APRV/FISCADM/DA, DE 14JAN26. EMPH ATE 48H. PRB DETAORC.",,29342.34
