0,1,2,3,4,5,6,7,8
160504000012026NC400419,160407,29 BATALHAO DE INFANTARIA BLINDADO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(007203-29º BIB)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (REUNIAO DE CMDO DA 3ª DE) REF: DIEX Nº 196-CL I/SEC SUP/3º GPT LOG, DE 20JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2800.0
160504000012026NC400420,160146,COMANDO DA 18 BRIGADA DE INF DE PANTANAL,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(024349-CMDO 18ª BDA INF FRON)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01.(VISITA DE INSPECAO DO CMT CMO ) REF: DIEX Nº 11970-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 31DEZ26.EMPH ATE 30 DIAS.PRB DETAORC",,4000.0
160504000012026NC400451,160136,COMANDO DO 9º GRUPAMENTO LOGISTICO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(011767-18º B TRNP)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (VISITA DE INSPECAO DO COMANDANTE MILITAR DO OESTE ) REF: DIEX Nº 483-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 23JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,1500.0
160504000012026NC400488,160372,COMANDO DE ARTILHARIA DIVISIONARIA/3,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(021303-CMDO AD/3)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (VISITA DO CMT CMS E CMT 3ª DE) REF: DIEX Nº 320-CL I/SEC SUP/3º GPT LOG, DE 27JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3000.0
160504000012026NC400493,160014,COMANDO 12 REGIAO MILITAR,339030,MATERIAL DE CONSUMO,E6SUPLJA1QR,"(025239-CMDO 12ª RM)C SUP-DIV SUBS-PLJ-QR DSP ORDINARIA. OBSERVAR REGRAS DO BT30.410-01 (AQUISICAO GLP PEF TIRIOS/PA). REF: DIEX Nº 110-DPPO/SCHCOEX/COEX, DE 22/01/2026. EMPH ATE 30 DIAS. PRB DETAORC.",,6180.0
160504000012026NC400542,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023580-CMDO CMO)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO CMO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,8000.0
160504000012026NC400543,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023580-CMDO CMO)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DO SOLDADO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,7000.0
160504000012026NC400544,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023580-CMDO CMO)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DO EXERCITO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,7000.0
160504000012026NC400545,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023580-CMDO CMO)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DO VETERANO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,5000.0
160504000012026NC400546,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023580-CMDO CMO)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO CCOP DO CMO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2500.0
