OM,CODOM,CODUG,SIGLA_UG
CI B,14662,160395,Cmdo CMS
CI Betione,14605,160530,Ba Adm Ap / CMO
CI Bld,15537,160413,Ba Adm / Gu SM
CI BSB,14506,160392,Cmdo 3ª RM
CI JF / CEA,14811,160111,Cmdo 4ª Bda Inf L Mth
CI MH,15008,160192,Ba Adm Ap / 5ª RM
CI MNC,15107,160225,Ba Adm / Curado
CI Op Esp,15149,160134,CI Op Esp
CI Pqdt GPB,16204,160296,Ba Adm / Bda Inf Pqdt
CI R,15156,160392,Cmdo 3ª RM
CI SM,15305,160413,Ba Adm / Gu SM
Cia C 10ª Bda Inf Mtz,30502,160225,Ba Adm / Curado
Cia C 10ª RM,30619,160047,Cmdo 10ª RM
Cia C 11ª Bda Inf L,30718,160466,Cmdo 11ª Bda Inf Mec
Cia C 12ª Bda Inf L (Amv),30874,160462,Cmdo Bda Inf Amv
Cia C 12ª RM,30866,160014,Cmdo 12ª RM
Cia C 13ª Bda Inf Mtz,30932,160158,Cmdo 13ª Bda Inf Mtz
Cia C 14ª Bda Inf Mtz,30940,160444,Cmdo 14ª Bda Inf Mtz
Cia C 15ª Bda Inf Mec,31013,160209,Cmdo 15ª Bda Inf Mec
Cia C 16ª Bda Inf SI,30882,160537,Cmdo 16ª Bda Inf SI
Cia C 17ª Bda Inf SI,29264,160349,Cmdo 17ª Bda Inf SI
Cia C 18ª Bda Inf Pan,27409,160146,Cmdo 18ª Bda Inf Pantanal
Cia C 1ª Bda Inf SI,29165,160482,Cmdo 1ª Bda Inf SI
Cia C 1ª DE,28506,160297,Cmdo 1ª DE
Cia C 1ª RM,28613,160303,Ba Adm Ap / 1ª Rm
Cia C 1º Gpt E,28019,160176,Cmdo 1º Gpt E
Cia C 22ª Bda Inf Sl,30999,160026,Cmdo 22ª Bda Inf SI
Cia C 23ª Bda Inf SI,30973,160170,Cmdo 23ª Bda Inf SI
Cia C 2ª Bda Inf Sl,29173,160515,Cmdo 2ª Bda Inf Sl
Cia C 2ª DE,23415,160457,Ba Adm Ap / Ibirapuera
Cia C 2º Gpt E,28092,160015,Cmdo 2º Gpt E
Cia C 3ª Bda Inf Mtz,29033,160100,Cmdo 3ª Bda Inf Mtz
Cia C 3ª DE,29108,160413,Ba Adm / Gu SM
Cia C 4ª Bda Inf L Mth,27474,160111,Cmdo 4ª Bda Inf L Mth
Cia C 4ª RM,29421,160118,Cmdo 4ª RM
Cia C 6ª Bda Inf Bld,29702,160414,Cmdo 6ª Bda Inf Bld
Cia C 6ª RM,29918,160036,Cmdo 6ª RM
Cia C 7ª Bda Inf Mtz,30007,160344,Cmdo 7ª Bda Inf Mtz
Cia C 8ª Bda Inf Mtz,30205,160380,Cmdo 8ª Bda Inf Mtz
Cia C Ba Ap Log Ex,27318,160238,Ba Ap Log Ex
Cia C Bda Inf Pqdt,27664,160296,Ba Adm / Bda Inf Pqdt
Cia C CMA,27896,160016,Cmdo CMA
Cia C CML,28126,160299,Cmdo CML
Cia C CMNE,28142,160195,Cmdo CMNE
Cia C GUEs/9ª Bda Inf Mtz,30361,160295,Cmdo GUEs/9ª Bda Inf Mtz
Cia C2,28316,160528,Ba Adm / CCOMGEx
Cia Com C Av Ex,31120,160518,B Av T
Cia DQBRN,32268,160098,Ba Adm / C Op Esp
Cia Prec Pqdt,37960,160296,Ba Adm / Bda Inf Pqdt
CIG,14704,160288,CIG
CIGE,15560,160528,Ba Adm / CCOMGEx
CIGS,16014,160012,CIGS
CITEx,17368,160091,CITEx
CM Cantuária,15842,160036,Cmdo 6ª RM
CMB,20255,160064,CMB
CMBel,20529,160218,CMBel
CMC,20313,160077,CMC
CMCG,20271,160078,CMCG
Cmdo 10ª Bda Inf Mtz,24604,160225,Ba Adm / Curado
Cmdo 10ª RM,24679,160047,Cmdo 10ª RM
Cmdo 11ª Bda Inf L,24794,160466,Cmdo 11ª Bda Inf Mec
Cmdo 11ª RM,22772,160065,Cmdo 11ª RM
Cmdo 12ª Bda Inf L (Amv),24828,160462,Cmdo Bda Inf Amv
Cmdo 12ª RM,25239,160014,Cmdo 12ª RM
Cmdo 13ª Bda Inf Mtz,24836,160158,Cmdo 13ª Bda Inf Mtz
Cmdo 14ª Bda Inf Mtz,24851,160444,Cmdo 14ª Bda Inf Mtz
Cmdo 15ª Bda Inf Mec,24786,160209,Cmdo 15ª Bda Inf Mec
Cmdo 16ª Bda Inf SI,24844,160537,Cmdo 16ª Bda Inf SI
Cmdo 17ª Bda Inf SI,24893,160349,Cmdo 17ª Bda Inf SI
Cmdo 18ª Bda Inf Pan,24349,160146,Cmdo 18ª Bda Inf Pantanal
Cmdo 1ª Bda AAAe,21741,160293,Cmdo DAAe Ex
Cmdo 1ª Bda C Mec,22806,160422,Cmdo 1ª Bda C Mec
Cmdo 1ª Bda Inf SI,24745,160482,Cmdo 1ª Bda Inf SI
Cmdo 1ª DE,23002,160297,Cmdo 1ª DE
