OM,CODOM,CODUG,SIGLA_UG
1º Esqd C Pqdt,51136,160296,Ba Adm / Bda Inf Pqdt
1º GAAAe,55319,160259,1º GAAAe
1º GAC Sl,58230,160170,Cmdo 23ª Bda Inf SI
1º Pel Com Sl,65334,160482,Cmdo 1ª Bda Inf SI
1º Pel PE Mec,65847,160422,Cmdo 1ª Bda C Mec
1º RC Gd,70003,160052,1º RC Gd
1º RC Mec,70201,160376,1º RC Mec
1º RCC,68718,160262,1º RCC
20ª Cia Com Pqdt,32201,160296,Ba Adm / Bda Inf Pqdt
20º B Log Pqdt,12302,160222,5º B Sup
20º BIB,6908,160123,14º GAC
20º GAC L,58164,160455,20º GAC L
20º RCB,69971,160512,20º RCB
21ª Bia AAAe Pqdt,13185,160270,2º RC Gd
21ª Cia E Cnst,34744,160022,21ª Cia E Cnst
21º CT,15263,160307,1º D Sup
21º GAC,56812,160272,21º GAC
22ª Ba Log Sl,984,160026,Cmdo 22ª Bda Inf SI
22º B Log (Amv),12278,160217,5º GAC AP
22º B Log L,12278,160456,22º B Log L
22º BI,5793,160547,22º BI Mec
22º BI Mec,5835,160108,12º BIL Mth
22º GAC AP,58149,160436,22º GAC AP
22º Pel PE,65813,160515,Cmdo 2ª Bda Inf Sl
23ª Cia Com SI,32078,160170,Cmdo 23ª Bda Inf SI
23ª Cia E Cmb,34637,160101,23ª Cia E Cmb
23ª Cia E Cmb Mec,34629,,
23º B Log SI,12351,160227,15ª Cia Inf Mtz
23º BC,1503,160049,10º D Sup
23º BI,5801,160106,2º B Fv
23º Esqd C Sl,65268,160081,23º Esqd C Sl
23º Pel PE,65789,160100,Cmdo 3ª Bda Inf Mtz
24º BIS,10199,160185,14º B Log
25º B Log (Es),12203,160214,5ª Cia Com Bld
25º BC,1701,160050,H Ge Fortaleza
25º BI Pqdt,9704,160170,Cmdo 23ª Bda Inf SI
25º GAC,57000,160361,25º GAC
25º Pel PE Mec,65870,160233,Cmdo 5ª Bda C Bld
26º BI Pqdt,9803,160171,8º BEC
26º GAC,57109,160228,26º GAC
26º Pel PE Mec,65888,160414,Cmdo 6ª Bda Inf Bld
27º B Log,12104,160212,27º B Log
27º BI Pqdt,9902,160173,31º BI Mtz
27º GAC,57208,160375,27º GAC
28º B Log,12153,160213,5º B Log
28º BC,1800,160052,1º RC Gd
28º BI Mec,7310,160133,10º RC Mec
